[2025-09-18 11:41:50,180][contrast_train.py][line:239][INFO] Arguments: Namespace(batchSize=32, dataset='/data/cjj/projects/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', exp_name='BaseLine', feature_transform=False, gamma=0.5, gpu_id='0', graphcut_c=0.5, graphcut_k=8, graphcut_min_size=20, lambda_con=0.1, lambda_region=0.1, lr=0.001, nepoch=200, no_jitter=False, npoints=1024, rotation_mode='xyz', save_dir='/data/cjj/projects/pointnet.pytorch/Contrast_exp/experiment', seed=42, step_size=20, temperature=0.07, use_cpu=False, use_graphcut_segmentation=False, use_region_contrast=True, workers=4)
[2025-09-18 11:41:50,180][contrast_train.py][line:240][INFO] model params: 1.909425 M
[2025-09-18 11:41:50,180][contrast_train.py][line:241][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-09-18 11:41:58,533][contrast_train.py][line:330][INFO] Epoch [001/200] Train Loss: 2.9285 (CE 2.7028, Con 2.2570, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.2658 | Test Acc: 0.3096 | LR: 0.001000
[2025-09-18 11:42:07,434][contrast_train.py][line:330][INFO] Epoch [002/200] Train Loss: 2.2171 (CE 2.0903, Con 1.2685, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.4074 | Test Acc: 0.3521 | LR: 0.001000
[2025-09-18 11:42:17,140][contrast_train.py][line:330][INFO] Epoch [003/200] Train Loss: 1.9734 (CE 1.8711, Con 1.0225, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.4618 | Test Acc: 0.4044 | LR: 0.001000
[2025-09-18 11:42:26,804][contrast_train.py][line:330][INFO] Epoch [004/200] Train Loss: 1.8190 (CE 1.7318, Con 0.8726, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.4977 | Test Acc: 0.3529 | LR: 0.001000
[2025-09-18 11:42:35,874][contrast_train.py][line:330][INFO] Epoch [005/200] Train Loss: 1.7315 (CE 1.6495, Con 0.8203, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.5155 | Test Acc: 0.4542 | LR: 0.001000
[2025-09-18 11:42:44,531][contrast_train.py][line:330][INFO] Epoch [006/200] Train Loss: 1.6390 (CE 1.5639, Con 0.7510, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.5395 | Test Acc: 0.4206 | LR: 0.001000
[2025-09-18 11:42:53,395][contrast_train.py][line:330][INFO] Epoch [007/200] Train Loss: 1.5746 (CE 1.5019, Con 0.7270, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.5608 | Test Acc: 0.4024 | LR: 0.001000
[2025-09-18 11:43:02,065][contrast_train.py][line:330][INFO] Epoch [008/200] Train Loss: 1.4966 (CE 1.4277, Con 0.6890, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.5747 | Test Acc: 0.5288 | LR: 0.001000
[2025-09-18 11:43:11,023][contrast_train.py][line:330][INFO] Epoch [009/200] Train Loss: 1.4494 (CE 1.3822, Con 0.6713, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.5918 | Test Acc: 0.4931 | LR: 0.001000
[2025-09-18 11:43:18,555][contrast_train.py][line:330][INFO] Epoch [010/200] Train Loss: 1.3847 (CE 1.3215, Con 0.6315, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.6058 | Test Acc: 0.5405 | LR: 0.001000
[2025-09-18 11:43:25,762][contrast_train.py][line:330][INFO] Epoch [011/200] Train Loss: 1.3435 (CE 1.2821, Con 0.6138, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.6145 | Test Acc: 0.5814 | LR: 0.001000
[2025-09-18 11:43:33,773][contrast_train.py][line:330][INFO] Epoch [012/200] Train Loss: 1.2887 (CE 1.2280, Con 0.6065, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.6281 | Test Acc: 0.5223 | LR: 0.001000
[2025-09-18 11:43:42,603][contrast_train.py][line:330][INFO] Epoch [013/200] Train Loss: 1.2470 (CE 1.1893, Con 0.5773, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.6432 | Test Acc: 0.5498 | LR: 0.001000
[2025-09-18 11:43:51,940][contrast_train.py][line:330][INFO] Epoch [014/200] Train Loss: 1.2110 (CE 1.1539, Con 0.5714, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.6528 | Test Acc: 0.5916 | LR: 0.001000
[2025-09-18 11:44:01,289][contrast_train.py][line:330][INFO] Epoch [015/200] Train Loss: 1.1710 (CE 1.1166, Con 0.5446, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.6647 | Test Acc: 0.5660 | LR: 0.001000
[2025-09-18 11:44:09,283][contrast_train.py][line:330][INFO] Epoch [016/200] Train Loss: 1.1398 (CE 1.0867, Con 0.5311, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.6749 | Test Acc: 0.5940 | LR: 0.001000
[2025-09-18 11:44:17,463][contrast_train.py][line:330][INFO] Epoch [017/200] Train Loss: 1.1171 (CE 1.0666, Con 0.5048, RegionCon 0.0000, Reg 0.000000) | Train Acc: 0.6765 | Test Acc: 0.6025 | LR: 0.001000
