[2025-09-18 11:43:10,977][contrast_train.py][line:239][INFO] Arguments: Namespace(batchSize=32, dataset='/data/cjj/projects/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', exp_name='GroupContrast', feature_transform=False, gamma=0.5, gpu_id='1', graphcut_c=0.5, graphcut_k=8, graphcut_min_size=20, lambda_con=0.1, lambda_region=0.1, lr=0.001, nepoch=200, no_jitter=False, npoints=1024, rotation_mode='xyz', save_dir='/data/cjj/projects/pointnet.pytorch/Contrast_exp/experiment', seed=42, step_size=20, temperature=0.07, use_cpu=False, use_graphcut_segmentation=True, use_region_contrast=True, workers=4)
[2025-09-18 11:43:10,977][contrast_train.py][line:240][INFO] model params: 1.909425 M
[2025-09-18 11:43:10,977][contrast_train.py][line:241][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-09-18 11:46:57,505][contrast_train.py][line:330][INFO] Epoch [001/200] Train Loss: 3.6449 (CE 2.9418, Con 2.3549, RegionCon 4.6756, Reg 0.000000) | Train Acc: 0.1921 | Test Acc: 0.1750 | LR: 0.001000
[2025-09-18 11:50:45,459][contrast_train.py][line:330][INFO] Epoch [002/200] Train Loss: 3.0491 (CE 2.4675, Con 1.5616, RegionCon 4.2544, Reg 0.000000) | Train Acc: 0.3138 | Test Acc: 0.2229 | LR: 0.001000
[2025-09-18 11:54:33,714][contrast_train.py][line:330][INFO] Epoch [003/200] Train Loss: 2.7354 (CE 2.1984, Con 1.1909, RegionCon 4.1782, Reg 0.000000) | Train Acc: 0.3788 | Test Acc: 0.2946 | LR: 0.001000
[2025-09-18 11:58:21,763][contrast_train.py][line:330][INFO] Epoch [004/200] Train Loss: 2.5380 (CE 2.0327, Con 0.9406, RegionCon 4.1127, Reg 0.000000) | Train Acc: 0.4121 | Test Acc: 0.2954 | LR: 0.001000
[2025-09-18 12:02:09,851][contrast_train.py][line:330][INFO] Epoch [005/200] Train Loss: 2.4251 (CE 1.9369, Con 0.8176, RegionCon 4.0641, Reg 0.000000) | Train Acc: 0.4316 | Test Acc: 0.3481 | LR: 0.001000
[2025-09-18 12:05:58,189][contrast_train.py][line:330][INFO] Epoch [006/200] Train Loss: 2.3125 (CE 1.8373, Con 0.7158, RegionCon 4.0356, Reg 0.000000) | Train Acc: 0.4706 | Test Acc: 0.3784 | LR: 0.001000
[2025-09-18 12:09:46,424][contrast_train.py][line:330][INFO] Epoch [007/200] Train Loss: 2.2422 (CE 1.7745, Con 0.6741, RegionCon 4.0023, Reg 0.000000) | Train Acc: 0.4834 | Test Acc: 0.3318 | LR: 0.001000
[2025-09-18 12:13:31,827][contrast_train.py][line:330][INFO] Epoch [008/200] Train Loss: 2.1782 (CE 1.7162, Con 0.6428, RegionCon 3.9772, Reg 0.000000) | Train Acc: 0.4966 | Test Acc: 0.4595 | LR: 0.001000
[2025-09-18 12:17:16,791][contrast_train.py][line:330][INFO] Epoch [009/200] Train Loss: 2.1249 (CE 1.6699, Con 0.5892, RegionCon 3.9603, Reg 0.000000) | Train Acc: 0.5038 | Test Acc: 0.4019 | LR: 0.001000
[2025-09-18 12:21:02,381][contrast_train.py][line:330][INFO] Epoch [010/200] Train Loss: 2.0581 (CE 1.6065, Con 0.5702, RegionCon 3.9463, Reg 0.000000) | Train Acc: 0.5225 | Test Acc: 0.4534 | LR: 0.001000
[2025-09-18 12:24:47,893][contrast_train.py][line:330][INFO] Epoch [011/200] Train Loss: 2.0259 (CE 1.5783, Con 0.5400, RegionCon 3.9362, Reg 0.000000) | Train Acc: 0.5323 | Test Acc: 0.4421 | LR: 0.001000
[2025-09-18 12:28:33,464][contrast_train.py][line:330][INFO] Epoch [012/200] Train Loss: 1.9698 (CE 1.5253, Con 0.5270, RegionCon 3.9172, Reg 0.000000) | Train Acc: 0.5450 | Test Acc: 0.4647 | LR: 0.001000
[2025-09-18 12:32:19,419][contrast_train.py][line:330][INFO] Epoch [013/200] Train Loss: 1.9374 (CE 1.4983, Con 0.4983, RegionCon 3.8932, Reg 0.000000) | Train Acc: 0.5549 | Test Acc: 0.5049 | LR: 0.001000
