[2025-09-22 13:28:21,758][contrast_train.py][line:239][INFO] Arguments: Namespace(batchSize=32, dataset='/data/cjj/projects/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', exp_name='BaseLineWithFeatureTransform', feature_transform=True, gamma=0.5, gpu_id='0', graphcut_c=0.5, graphcut_k=8, graphcut_min_size=20, lambda_con=0.1, lambda_region=0.1, lr=0.001, nepoch=200, no_jitter=False, npoints=1024, rotation_mode='xyz', save_dir='/data/cjj/projects/pointnet.pytorch/Contrast_exp/experiment', seed=42, step_size=20, temperature=0.07, use_cpu=False, use_graphcut_segmentation=False, use_region_contrast=True, workers=4)
[2025-09-22 13:28:21,759][contrast_train.py][line:240][INFO] model params: 3.766769 M
[2025-09-22 13:28:21,759][contrast_train.py][line:241][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fstn): STNkd(
      (conv1): Conv1d(64, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=4096, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-09-22 13:28:34,089][contrast_train.py][line:330][INFO] Epoch [001/200] Train Loss: 3.2452 (CE 2.9472, Con 2.4353, RegionCon 0.0000, Reg 0.054394) | Train Acc: 0.1997 | Test Acc: 0.2411 | LR: 0.001000
[2025-09-22 13:28:46,261][contrast_train.py][line:330][INFO] Epoch [002/200] Train Loss: 2.7313 (CE 2.5300, Con 1.6617, RegionCon 0.0000, Reg 0.035183) | Train Acc: 0.2927 | Test Acc: 0.2322 | LR: 0.001000
[2025-09-22 13:28:59,027][contrast_train.py][line:330][INFO] Epoch [003/200] Train Loss: 2.5301 (CE 2.3678, Con 1.3620, RegionCon 0.0000, Reg 0.026160) | Train Acc: 0.3281 | Test Acc: 0.3120 | LR: 0.001000
[2025-09-22 13:29:12,120][contrast_train.py][line:330][INFO] Epoch [004/200] Train Loss: 2.2898 (CE 2.1662, Con 1.0308, RegionCon 0.0000, Reg 0.020516) | Train Acc: 0.3801 | Test Acc: 0.3521 | LR: 0.001000
[2025-09-22 13:29:25,781][contrast_train.py][line:330][INFO] Epoch [005/200] Train Loss: 2.1313 (CE 2.0289, Con 0.8515, RegionCon 0.0000, Reg 0.017278) | Train Acc: 0.4043 | Test Acc: 0.3963 | LR: 0.001000
[2025-09-22 13:29:38,804][contrast_train.py][line:330][INFO] Epoch [006/200] Train Loss: 2.0543 (CE 1.9644, Con 0.7396, RegionCon 0.0000, Reg 0.015961) | Train Acc: 0.4268 | Test Acc: 0.3788 | LR: 0.001000
[2025-09-22 13:29:51,171][contrast_train.py][line:330][INFO] Epoch [007/200] Train Loss: 1.9555 (CE 1.8756, Con 0.6535, RegionCon 0.0000, Reg 0.014525) | Train Acc: 0.4506 | Test Acc: 0.3805 | LR: 0.001000
[2025-09-22 13:30:03,074][contrast_train.py][line:330][INFO] Epoch [008/200] Train Loss: 1.9034 (CE 1.8291, Con 0.6013, RegionCon 0.0000, Reg 0.014197) | Train Acc: 0.4655 | Test Acc: 0.3432 | LR: 0.001000
[2025-09-22 13:30:14,583][contrast_train.py][line:330][INFO] Epoch [009/200] Train Loss: 1.8448 (CE 1.7782, Con 0.5264, RegionCon 0.0000, Reg 0.013997) | Train Acc: 0.4799 | Test Acc: 0.4028 | LR: 0.001000
[2025-09-22 13:30:26,838][contrast_train.py][line:330][INFO] Epoch [010/200] Train Loss: 1.8021 (CE 1.7388, Con 0.5030, RegionCon 0.0000, Reg 0.012918) | Train Acc: 0.4889 | Test Acc: 0.4291 | LR: 0.001000
[2025-09-22 13:30:39,716][contrast_train.py][line:330][INFO] Epoch [011/200] Train Loss: 1.7530 (CE 1.6919, Con 0.4820, RegionCon 0.0000, Reg 0.012934) | Train Acc: 0.4990 | Test Acc: 0.4404 | LR: 0.001000
[2025-09-22 13:30:52,751][contrast_train.py][line:330][INFO] Epoch [012/200] Train Loss: 1.6874 (CE 1.6287, Con 0.4587, RegionCon 0.0000, Reg 0.012913) | Train Acc: 0.5216 | Test Acc: 0.4619 | LR: 0.001000
[2025-09-22 13:31:04,907][contrast_train.py][line:330][INFO] Epoch [013/200] Train Loss: 1.6573 (CE 1.5998, Con 0.4497, RegionCon 0.0000, Reg 0.012575) | Train Acc: 0.5259 | Test Acc: 0.5186 | LR: 0.001000
[2025-09-22 13:31:16,771][contrast_train.py][line:330][INFO] Epoch [014/200] Train Loss: 1.6016 (CE 1.5470, Con 0.4205, RegionCon 0.0000, Reg 0.012507) | Train Acc: 0.5439 | Test Acc: 0.4996 | LR: 0.001000
[2025-09-22 13:31:29,202][contrast_train.py][line:330][INFO] Epoch [015/200] Train Loss: 1.5754 (CE 1.5217, Con 0.4160, RegionCon 0.0000, Reg 0.012191) | Train Acc: 0.5480 | Test Acc: 0.4801 | LR: 0.001000
[2025-09-22 13:31:40,581][contrast_train.py][line:330][INFO] Epoch [016/200] Train Loss: 1.5348 (CE 1.4817, Con 0.4030, RegionCon 0.0000, Reg 0.012810) | Train Acc: 0.5610 | Test Acc: 0.5093 | LR: 0.001000
