[2025-09-22 13:29:59,434][contrast_train.py][line:239][INFO] Arguments: Namespace(batchSize=32, dataset='/data/cjj/projects/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', exp_name='GroupContrastWithFeatureTransform', feature_transform=True, gamma=0.5, gpu_id='1', graphcut_c=0.5, graphcut_k=8, graphcut_min_size=20, lambda_con=0.1, lambda_region=0.1, lr=0.001, nepoch=200, no_jitter=False, npoints=1024, rotation_mode='xyz', save_dir='/data/cjj/projects/pointnet.pytorch/Contrast_exp/experiment', seed=42, step_size=20, temperature=0.07, use_cpu=False, use_graphcut_segmentation=True, use_region_contrast=True, workers=4)
[2025-09-22 13:29:59,435][contrast_train.py][line:240][INFO] model params: 3.766769 M
[2025-09-22 13:29:59,435][contrast_train.py][line:241][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fstn): STNkd(
      (conv1): Conv1d(64, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=4096, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-09-22 13:33:52,064][contrast_train.py][line:330][INFO] Epoch [001/200] Train Loss: 3.8079 (CE 3.0581, Con 2.7856, RegionCon 4.1282, Reg 0.058428) | Train Acc: 0.1811 | Test Acc: 0.2338 | LR: 0.001000
[2025-09-22 13:37:43,423][contrast_train.py][line:330][INFO] Epoch [002/200] Train Loss: 3.1574 (CE 2.5476, Con 1.7794, RegionCon 3.9151, Reg 0.040430) | Train Acc: 0.2826 | Test Acc: 0.2496 | LR: 0.001000
[2025-09-22 13:41:36,180][contrast_train.py][line:330][INFO] Epoch [003/200] Train Loss: 2.8064 (CE 2.2648, Con 1.2349, RegionCon 3.8332, Reg 0.034742) | Train Acc: 0.3552 | Test Acc: 0.3618 | LR: 0.001000
[2025-09-22 13:45:28,807][contrast_train.py][line:330][INFO] Epoch [004/200] Train Loss: 2.5411 (CE 2.0463, Con 0.8791, RegionCon 3.7852, Reg 0.028435) | Train Acc: 0.4144 | Test Acc: 0.3736 | LR: 0.001000
[2025-09-22 13:49:22,517][contrast_train.py][line:330][INFO] Epoch [005/200] Train Loss: 2.4015 (CE 1.9305, Con 0.7370, RegionCon 3.7319, Reg 0.024108) | Train Acc: 0.4365 | Test Acc: 0.4100 | LR: 0.001000
[2025-09-22 13:53:12,678][contrast_train.py][line:330][INFO] Epoch [006/200] Train Loss: 2.3290 (CE 1.8726, Con 0.6704, RegionCon 3.6707, Reg 0.022290) | Train Acc: 0.4589 | Test Acc: 0.4060 | LR: 0.001000
[2025-09-22 13:57:03,201][contrast_train.py][line:330][INFO] Epoch [007/200] Train Loss: 2.2112 (CE 1.7684, Con 0.5729, RegionCon 3.6541, Reg 0.020097) | Train Acc: 0.4806 | Test Acc: 0.4761 | LR: 0.001000
[2025-09-22 14:00:55,141][contrast_train.py][line:330][INFO] Epoch [008/200] Train Loss: 2.1559 (CE 1.7209, Con 0.5431, RegionCon 3.6126, Reg 0.019398) | Train Acc: 0.4980 | Test Acc: 0.4271 | LR: 0.001000
[2025-09-22 14:04:47,400][contrast_train.py][line:330][INFO] Epoch [009/200] Train Loss: 2.0931 (CE 1.6627, Con 0.5193, RegionCon 3.5838, Reg 0.020064) | Train Acc: 0.5133 | Test Acc: 0.4635 | LR: 0.001000
[2025-09-22 14:08:39,447][contrast_train.py][line:330][INFO] Epoch [010/200] Train Loss: 2.0549 (CE 1.6327, Con 0.4803, RegionCon 3.5588, Reg 0.018323) | Train Acc: 0.5235 | Test Acc: 0.4793 | LR: 0.001000
[2025-09-22 14:12:31,004][contrast_train.py][line:330][INFO] Epoch [011/200] Train Loss: 1.9935 (CE 1.5757, Con 0.4599, RegionCon 3.5322, Reg 0.018629) | Train Acc: 0.5381 | Test Acc: 0.5567 | LR: 0.001000
[2025-09-22 14:16:22,758][contrast_train.py][line:330][INFO] Epoch [012/200] Train Loss: 1.9321 (CE 1.5190, Con 0.4268, RegionCon 3.5177, Reg 0.018676) | Train Acc: 0.5492 | Test Acc: 0.5199 | LR: 0.001000
[2025-09-22 14:20:12,694][contrast_train.py][line:330][INFO] Epoch [013/200] Train Loss: 1.8868 (CE 1.4743, Con 0.4211, RegionCon 3.5218, Reg 0.018184) | Train Acc: 0.5680 | Test Acc: 0.4927 | LR: 0.001000
[2025-09-22 14:24:01,255][contrast_train.py][line:330][INFO] Epoch [014/200] Train Loss: 1.8402 (CE 1.4335, Con 0.3925, RegionCon 3.4910, Reg 0.018329) | Train Acc: 0.5772 | Test Acc: 0.5041 | LR: 0.001000
[2025-09-22 14:27:50,913][contrast_train.py][line:330][INFO] Epoch [015/200] Train Loss: 1.8051 (CE 1.4022, Con 0.3784, RegionCon 3.4649, Reg 0.018590) | Train Acc: 0.5853 | Test Acc: 0.5486 | LR: 0.001000
[2025-09-22 14:31:40,571][contrast_train.py][line:330][INFO] Epoch [016/200] Train Loss: 1.7692 (CE 1.3667, Con 0.3768, RegionCon 3.4592, Reg 0.018890) | Train Acc: 0.5905 | Test Acc: 0.6240 | LR: 0.001000
[2025-09-22 14:35:29,308][contrast_train.py][line:330][INFO] Epoch [017/200] Train Loss: 1.7102 (CE 1.3103, Con 0.3594, RegionCon 3.4472, Reg 0.019260) | Train Acc: 0.6120 | Test Acc: 0.5417 | LR: 0.001000
[2025-09-22 14:39:18,480][contrast_train.py][line:330][INFO] Epoch [018/200] Train Loss: 1.7000 (CE 1.3016, Con 0.3406, RegionCon 3.4555, Reg 0.018718) | Train Acc: 0.6168 | Test Acc: 0.5968 | LR: 0.001000
[2025-09-22 14:43:06,580][contrast_train.py][line:330][INFO] Epoch [019/200] Train Loss: 1.6533 (CE 1.2587, Con 0.3321, RegionCon 3.4296, Reg 0.018401) | Train Acc: 0.6156 | Test Acc: 0.5709 | LR: 0.001000
[2025-09-22 14:46:57,408][contrast_train.py][line:330][INFO] Epoch [020/200] Train Loss: 1.6299 (CE 1.2340, Con 0.3398, RegionCon 3.4328, Reg 0.018680) | Train Acc: 0.6292 | Test Acc: 0.6187 | LR: 0.000500
[2025-09-22 14:50:47,737][contrast_train.py][line:330][INFO] Epoch [021/200] Train Loss: 1.4791 (CE 1.0977, Con 0.2396, RegionCon 3.4053, Reg 0.016898) | Train Acc: 0.6641 | Test Acc: 0.6353 | LR: 0.000500
[2025-09-22 14:54:38,984][contrast_train.py][line:330][INFO] Epoch [022/200] Train Loss: 1.4342 (CE 1.0562, Con 0.2168, RegionCon 3.3991, Reg 0.016430) | Train Acc: 0.6802 | Test Acc: 0.6892 | LR: 0.000500
[2025-09-22 14:58:29,410][contrast_train.py][line:330][INFO] Epoch [023/200] Train Loss: 1.4226 (CE 1.0461, Con 0.2251, RegionCon 3.3815, Reg 0.015801) | Train Acc: 0.6815 | Test Acc: 0.6406 | LR: 0.000500
[2025-09-22 15:02:17,667][contrast_train.py][line:330][INFO] Epoch [024/200] Train Loss: 1.4081 (CE 1.0305, Con 0.2199, RegionCon 3.4059, Reg 0.015004) | Train Acc: 0.6839 | Test Acc: 0.7030 | LR: 0.000500
[2025-09-22 15:06:06,930][contrast_train.py][line:330][INFO] Epoch [025/200] Train Loss: 1.3828 (CE 1.0070, Con 0.2250, RegionCon 3.3879, Reg 0.014496) | Train Acc: 0.6961 | Test Acc: 0.6649 | LR: 0.000500
[2025-09-22 15:09:55,655][contrast_train.py][line:330][INFO] Epoch [026/200] Train Loss: 1.3707 (CE 0.9941, Con 0.2319, RegionCon 3.3815, Reg 0.015188) | Train Acc: 0.7006 | Test Acc: 0.6989 | LR: 0.000500
[2025-09-22 15:13:44,529][contrast_train.py][line:330][INFO] Epoch [027/200] Train Loss: 1.3446 (CE 0.9701, Con 0.2198, RegionCon 3.3818, Reg 0.014393) | Train Acc: 0.7023 | Test Acc: 0.6799 | LR: 0.000500
[2025-09-22 15:17:33,642][contrast_train.py][line:330][INFO] Epoch [028/200] Train Loss: 1.3256 (CE 0.9520, Con 0.2116, RegionCon 3.3830, Reg 0.014144) | Train Acc: 0.7086 | Test Acc: 0.6840 | LR: 0.000500
[2025-09-22 15:21:22,003][contrast_train.py][line:330][INFO] Epoch [029/200] Train Loss: 1.3213 (CE 0.9477, Con 0.2181, RegionCon 3.3775, Reg 0.014110) | Train Acc: 0.7051 | Test Acc: 0.6763 | LR: 0.000500
[2025-09-22 15:25:10,775][contrast_train.py][line:330][INFO] Epoch [030/200] Train Loss: 1.3182 (CE 0.9449, Con 0.2127, RegionCon 3.3835, Reg 0.013644) | Train Acc: 0.7097 | Test Acc: 0.7237 | LR: 0.000500
[2025-09-22 15:28:59,885][contrast_train.py][line:330][INFO] Epoch [031/200] Train Loss: 1.2889 (CE 0.9168, Con 0.2072, RegionCon 3.3730, Reg 0.014093) | Train Acc: 0.7193 | Test Acc: 0.6742 | LR: 0.000500
[2025-09-22 15:32:49,510][contrast_train.py][line:330][INFO] Epoch [032/200] Train Loss: 1.2825 (CE 0.9097, Con 0.2119, RegionCon 3.3797, Reg 0.013676) | Train Acc: 0.7214 | Test Acc: 0.7342 | LR: 0.000500
[2025-09-22 15:36:37,453][contrast_train.py][line:330][INFO] Epoch [033/200] Train Loss: 1.2553 (CE 0.8848, Con 0.2061, RegionCon 3.3633, Reg 0.013532) | Train Acc: 0.7235 | Test Acc: 0.7261 | LR: 0.000500
[2025-09-22 15:40:25,690][contrast_train.py][line:330][INFO] Epoch [034/200] Train Loss: 1.2522 (CE 0.8806, Con 0.2117, RegionCon 3.3674, Reg 0.013659) | Train Acc: 0.7232 | Test Acc: 0.7395 | LR: 0.000500
[2025-09-22 15:44:14,848][contrast_train.py][line:330][INFO] Epoch [035/200] Train Loss: 1.2404 (CE 0.8717, Con 0.2024, RegionCon 3.3537, Reg 0.013053) | Train Acc: 0.7283 | Test Acc: 0.7152 | LR: 0.000500
[2025-09-22 15:48:02,666][contrast_train.py][line:330][INFO] Epoch [036/200] Train Loss: 1.2275 (CE 0.8576, Con 0.1922, RegionCon 3.3748, Reg 0.013139) | Train Acc: 0.7336 | Test Acc: 0.7565 | LR: 0.000500
[2025-09-22 15:51:51,335][contrast_train.py][line:330][INFO] Epoch [037/200] Train Loss: 1.2191 (CE 0.8511, Con 0.1943, RegionCon 3.3546, Reg 0.013116) | Train Acc: 0.7394 | Test Acc: 0.7374 | LR: 0.000500
[2025-09-22 15:55:40,575][contrast_train.py][line:330][INFO] Epoch [038/200] Train Loss: 1.2108 (CE 0.8421, Con 0.1945, RegionCon 3.3560, Reg 0.013680) | Train Acc: 0.7426 | Test Acc: 0.7220 | LR: 0.000500
[2025-09-22 15:59:29,407][contrast_train.py][line:330][INFO] Epoch [039/200] Train Loss: 1.1945 (CE 0.8271, Con 0.1946, RegionCon 3.3439, Reg 0.013566) | Train Acc: 0.7400 | Test Acc: 0.7123 | LR: 0.000500
[2025-09-22 16:03:18,277][contrast_train.py][line:330][INFO] Epoch [040/200] Train Loss: 1.2002 (CE 0.8318, Con 0.1909, RegionCon 3.3542, Reg 0.013821) | Train Acc: 0.7378 | Test Acc: 0.7075 | LR: 0.000250
[2025-09-22 16:07:06,131][contrast_train.py][line:330][INFO] Epoch [041/200] Train Loss: 1.1127 (CE 0.7501, Con 0.1481, RegionCon 3.3501, Reg 0.012752) | Train Acc: 0.7604 | Test Acc: 0.7536 | LR: 0.000250
[2025-09-22 16:10:54,752][contrast_train.py][line:330][INFO] Epoch [042/200] Train Loss: 1.0997 (CE 0.7407, Con 0.1428, RegionCon 3.3231, Reg 0.012429) | Train Acc: 0.7693 | Test Acc: 0.7646 | LR: 0.000250
[2025-09-22 16:14:44,195][contrast_train.py][line:330][INFO] Epoch [043/200] Train Loss: 1.0890 (CE 0.7299, Con 0.1493, RegionCon 3.3229, Reg 0.011946) | Train Acc: 0.7731 | Test Acc: 0.7723 | LR: 0.000250
[2025-09-22 16:18:34,316][contrast_train.py][line:330][INFO] Epoch [044/200] Train Loss: 1.0952 (CE 0.7340, Con 0.1476, RegionCon 3.3406, Reg 0.012389) | Train Acc: 0.7702 | Test Acc: 0.7703 | LR: 0.000250
[2025-09-22 16:22:22,238][contrast_train.py][line:330][INFO] Epoch [045/200] Train Loss: 1.0753 (CE 0.7175, Con 0.1438, RegionCon 3.3191, Reg 0.011538) | Train Acc: 0.7687 | Test Acc: 0.7613 | LR: 0.000250
[2025-09-22 16:26:09,652][contrast_train.py][line:330][INFO] Epoch [046/200] Train Loss: 1.0709 (CE 0.7130, Con 0.1440, RegionCon 3.3208, Reg 0.011445) | Train Acc: 0.7781 | Test Acc: 0.7820 | LR: 0.000250
