[2025-09-22 19:24:01,743][contrast_train.py][line:271][INFO] Arguments: Namespace(batchSize=32, dataset='/data/cjj/projects/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', exp_name='ModifiedBaseLineWithFeatureTransform', feature_transform=True, gamma=0.5, gpu_id='0', graphcut_c=0.5, graphcut_k=8, graphcut_min_size=20, lambda_con=0.1, lambda_region=0.1, lr=0.001, nepoch=200, no_jitter=False, npoints=1024, rotation_mode='xyz', save_dir='/data/cjj/projects/pointnet.pytorch/Contrast_exp/experiment', seed=42, step_size=20, temperature=0.07, use_cpu=False, use_graphcut_segmentation=False, use_region_contrast=True, workers=4)
[2025-09-22 19:24:01,743][contrast_train.py][line:272][INFO] model params: 3.766769 M
[2025-09-22 19:24:01,744][contrast_train.py][line:273][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fstn): STNkd(
      (conv1): Conv1d(64, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=4096, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-09-22 19:24:32,240][contrast_train.py][line:362][INFO] Epoch [001/200] Train Loss: 3.6493 (CE 2.9086, Con 6.7505, RegionCon 0.0000, Reg 0.065620) | Train Acc: 0.2201 | Test Acc: 0.2516 | LR: 0.001000
[2025-09-22 19:25:02,741][contrast_train.py][line:362][INFO] Epoch [002/200] Train Loss: 3.0001 (CE 2.3125, Con 6.3835, RegionCon 0.0000, Reg 0.049279) | Train Acc: 0.3498 | Test Acc: 0.3294 | LR: 0.001000
[2025-09-22 19:25:33,262][contrast_train.py][line:362][INFO] Epoch [003/200] Train Loss: 2.7018 (CE 2.0440, Con 6.1780, RegionCon 0.0000, Reg 0.039978) | Train Acc: 0.4122 | Test Acc: 0.3894 | LR: 0.001000
[2025-09-22 19:26:03,694][contrast_train.py][line:362][INFO] Epoch [004/200] Train Loss: 2.4940 (CE 1.8651, Con 5.9800, RegionCon 0.0000, Reg 0.030900) | Train Acc: 0.4625 | Test Acc: 0.4449 | LR: 0.001000
[2025-09-22 19:26:34,285][contrast_train.py][line:362][INFO] Epoch [005/200] Train Loss: 2.3331 (CE 1.7178, Con 5.8661, RegionCon 0.0000, Reg 0.028759) | Train Acc: 0.4949 | Test Acc: 0.4643 | LR: 0.001000
[2025-09-22 19:27:04,790][contrast_train.py][line:362][INFO] Epoch [006/200] Train Loss: 2.2291 (CE 1.6279, Con 5.7459, RegionCon 0.0000, Reg 0.026536) | Train Acc: 0.5354 | Test Acc: 0.3635 | LR: 0.001000
[2025-09-22 19:27:35,204][contrast_train.py][line:362][INFO] Epoch [007/200] Train Loss: 2.1054 (CE 1.5145, Con 5.6589, RegionCon 0.0000, Reg 0.025007) | Train Acc: 0.5679 | Test Acc: 0.5000 | LR: 0.001000
[2025-09-22 19:28:06,555][contrast_train.py][line:362][INFO] Epoch [008/200] Train Loss: 2.0381 (CE 1.4538, Con 5.5930, RegionCon 0.0000, Reg 0.025033) | Train Acc: 0.5802 | Test Acc: 0.5126 | LR: 0.001000
[2025-09-22 19:29:09,758][contrast_train.py][line:362][INFO] Epoch [009/200] Train Loss: 1.9620 (CE 1.3815, Con 5.5515, RegionCon 0.0000, Reg 0.025304) | Train Acc: 0.5943 | Test Acc: 0.5766 | LR: 0.001000
[2025-09-22 19:30:11,121][contrast_train.py][line:362][INFO] Epoch [010/200] Train Loss: 1.9181 (CE 1.3428, Con 5.5038, RegionCon 0.0000, Reg 0.024855) | Train Acc: 0.6003 | Test Acc: 0.6017 | LR: 0.001000
[2025-09-22 19:31:11,822][contrast_train.py][line:362][INFO] Epoch [011/200] Train Loss: 1.8637 (CE 1.2946, Con 5.4468, RegionCon 0.0000, Reg 0.024396) | Train Acc: 0.6181 | Test Acc: 0.5596 | LR: 0.001000
[2025-09-22 19:32:14,417][contrast_train.py][line:362][INFO] Epoch [012/200] Train Loss: 1.7841 (CE 1.2221, Con 5.3825, RegionCon 0.0000, Reg 0.023803) | Train Acc: 0.6361 | Test Acc: 0.6155 | LR: 0.001000
[2025-09-22 19:33:15,157][contrast_train.py][line:362][INFO] Epoch [013/200] Train Loss: 1.7400 (CE 1.1816, Con 5.3517, RegionCon 0.0000, Reg 0.023252) | Train Acc: 0.6442 | Test Acc: 0.6447 | LR: 0.001000
[2025-09-22 19:34:16,125][contrast_train.py][line:362][INFO] Epoch [014/200] Train Loss: 1.6961 (CE 1.1447, Con 5.2900, RegionCon 0.0000, Reg 0.022397) | Train Acc: 0.6617 | Test Acc: 0.6633 | LR: 0.001000
[2025-09-22 19:35:17,751][contrast_train.py][line:362][INFO] Epoch [015/200] Train Loss: 1.6470 (CE 1.1009, Con 5.2373, RegionCon 0.0000, Reg 0.022363) | Train Acc: 0.6716 | Test Acc: 0.6795 | LR: 0.001000
[2025-09-22 19:36:20,963][contrast_train.py][line:362][INFO] Epoch [016/200] Train Loss: 1.6148 (CE 1.0750, Con 5.1806, RegionCon 0.0000, Reg 0.021794) | Train Acc: 0.6796 | Test Acc: 0.6669 | LR: 0.001000
