[2025-09-23 10:04:02,657][contrast_train.py][line:271][INFO] Arguments: Namespace(batchSize=32, dataset='/data/cjj/projects/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', exp_name='ModifiedGroupContrastWithFeatureTransform', feature_transform=True, gamma=0.5, gpu_id='0', graphcut_c=0.5, graphcut_k=8, graphcut_min_size=20, lambda_con=0.1, lambda_region=0.1, lr=0.001, nepoch=200, no_jitter=False, npoints=1024, rotation_mode='xyz', save_dir='/data/cjj/projects/pointnet.pytorch/Contrast_exp/experiment', seed=42, step_size=20, temperature=0.07, use_cpu=False, use_graphcut_segmentation=True, use_region_contrast=True, workers=4)
[2025-09-23 10:04:02,657][contrast_train.py][line:272][INFO] model params: 3.766769 M
[2025-09-23 10:04:02,658][contrast_train.py][line:273][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fstn): STNkd(
      (conv1): Conv1d(64, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=4096, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-09-23 10:07:59,642][contrast_train.py][line:362][INFO] Epoch [001/200] Train Loss: 4.2176 (CE 3.0418, Con 7.0087, RegionCon 4.0591, Reg 0.069005) | Train Acc: 0.1929 | Test Acc: 0.2111 | LR: 0.001000
[2025-09-23 10:11:56,470][contrast_train.py][line:362][INFO] Epoch [002/200] Train Loss: 3.5245 (CE 2.4092, Con 6.7673, RegionCon 3.9219, Reg 0.046402) | Train Acc: 0.3293 | Test Acc: 0.3006 | LR: 0.001000
[2025-09-23 10:15:55,108][contrast_train.py][line:362][INFO] Epoch [003/200] Train Loss: 3.2009 (CE 2.1125, Con 6.6708, RegionCon 3.8548, Reg 0.035874) | Train Acc: 0.4024 | Test Acc: 0.3959 | LR: 0.001000
[2025-09-23 10:19:53,329][contrast_train.py][line:362][INFO] Epoch [004/200] Train Loss: 3.0014 (CE 1.9331, Con 6.5733, RegionCon 3.8180, Reg 0.029201) | Train Acc: 0.4467 | Test Acc: 0.3566 | LR: 0.001000
[2025-09-23 10:23:53,577][contrast_train.py][line:362][INFO] Epoch [005/200] Train Loss: 2.8670 (CE 1.8118, Con 6.5073, RegionCon 3.7868, Reg 0.025842) | Train Acc: 0.4784 | Test Acc: 0.4222 | LR: 0.001000
[2025-09-23 10:27:53,088][contrast_train.py][line:362][INFO] Epoch [006/200] Train Loss: 2.7696 (CE 1.7253, Con 6.4694, RegionCon 3.7327, Reg 0.024099) | Train Acc: 0.5035 | Test Acc: 0.4125 | LR: 0.001000
[2025-09-23 10:31:50,326][contrast_train.py][line:362][INFO] Epoch [007/200] Train Loss: 2.6502 (CE 1.6177, Con 6.4048, RegionCon 3.7039, Reg 0.021624) | Train Acc: 0.5363 | Test Acc: 0.4412 | LR: 0.001000
[2025-09-23 10:35:49,210][contrast_train.py][line:362][INFO] Epoch [008/200] Train Loss: 2.5987 (CE 1.5699, Con 6.3723, RegionCon 3.6919, Reg 0.022450) | Train Acc: 0.5446 | Test Acc: 0.5089 | LR: 0.001000
[2025-09-23 10:39:45,988][contrast_train.py][line:362][INFO] Epoch [009/200] Train Loss: 2.5175 (CE 1.4933, Con 6.3352, RegionCon 3.6881, Reg 0.021836) | Train Acc: 0.5625 | Test Acc: 0.5494 | LR: 0.001000
[2025-09-23 10:43:42,680][contrast_train.py][line:362][INFO] Epoch [010/200] Train Loss: 2.4681 (CE 1.4497, Con 6.2999, RegionCon 3.6674, Reg 0.021721) | Train Acc: 0.5749 | Test Acc: 0.5186 | LR: 0.001000
[2025-09-23 10:47:38,383][contrast_train.py][line:362][INFO] Epoch [011/200] Train Loss: 2.3971 (CE 1.3816, Con 6.2791, RegionCon 3.6531, Reg 0.022243) | Train Acc: 0.5926 | Test Acc: 0.5470 | LR: 0.001000
[2025-09-23 10:51:34,379][contrast_train.py][line:362][INFO] Epoch [012/200] Train Loss: 2.3343 (CE 1.3234, Con 6.2506, RegionCon 3.6447, Reg 0.021378) | Train Acc: 0.6072 | Test Acc: 0.5985 | LR: 0.001000
[2025-09-23 10:55:30,948][contrast_train.py][line:362][INFO] Epoch [013/200] Train Loss: 2.3159 (CE 1.3055, Con 6.2303, RegionCon 3.6519, Reg 0.022096) | Train Acc: 0.6166 | Test Acc: 0.6139 | LR: 0.001000
[2025-09-23 10:59:25,391][contrast_train.py][line:362][INFO] Epoch [014/200] Train Loss: 2.2325 (CE 1.2292, Con 6.1963, RegionCon 3.6327, Reg 0.020424) | Train Acc: 0.6333 | Test Acc: 0.5750 | LR: 0.001000
[2025-09-23 11:03:23,696][contrast_train.py][line:362][INFO] Epoch [015/200] Train Loss: 2.2085 (CE 1.2058, Con 6.1702, RegionCon 3.6468, Reg 0.020971) | Train Acc: 0.6426 | Test Acc: 0.6171 | LR: 0.001000
[2025-09-23 11:07:19,062][contrast_train.py][line:362][INFO] Epoch [016/200] Train Loss: 2.1689 (CE 1.1718, Con 6.1387, RegionCon 3.6236, Reg 0.020856) | Train Acc: 0.6479 | Test Acc: 0.6114 | LR: 0.001000
