[2025-09-23 10:09:25,133][contrast_train.py][line:271][INFO] Arguments: Namespace(batchSize=32, dataset='/data/cjj/projects/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', exp_name='PointNet', feature_transform=True, gamma=0.5, gpu_id='1', graphcut_c=0.5, graphcut_k=8, graphcut_min_size=20, lambda_con=0.1, lambda_region=0.1, lr=0.001, nepoch=200, no_jitter=False, npoints=1024, rotation_mode='xyz', save_dir='/data/cjj/projects/pointnet.pytorch/Contrast_exp/experiment', seed=42, step_size=20, temperature=0.07, use_cpu=False, use_graphcut_segmentation=False, use_region_contrast=True, workers=4)
[2025-09-23 10:09:25,133][contrast_train.py][line:272][INFO] model params: 3.766769 M
[2025-09-23 10:09:25,133][contrast_train.py][line:273][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fstn): STNkd(
      (conv1): Conv1d(64, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=4096, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-09-23 10:09:36,246][contrast_train.py][line:362][INFO] Epoch [001/200] Train Loss: 2.9777 (CE 2.9246, Con 0.0000, RegionCon 0.0000, Reg 0.053026) | Train Acc: 0.2186 | Test Acc: 0.2431 | LR: 0.001000
[2025-09-23 10:09:47,249][contrast_train.py][line:362][INFO] Epoch [002/200] Train Loss: 2.4601 (CE 2.4258, Con 0.0000, RegionCon 0.0000, Reg 0.034279) | Train Acc: 0.3168 | Test Acc: 0.3173 | LR: 0.001000
[2025-09-23 10:09:57,984][contrast_train.py][line:362][INFO] Epoch [003/200] Train Loss: 2.2650 (CE 2.2398, Con 0.0000, RegionCon 0.0000, Reg 0.025242) | Train Acc: 0.3637 | Test Acc: 0.3626 | LR: 0.001000
[2025-09-23 10:10:08,756][contrast_train.py][line:362][INFO] Epoch [004/200] Train Loss: 2.0729 (CE 2.0517, Con 0.0000, RegionCon 0.0000, Reg 0.021159) | Train Acc: 0.4105 | Test Acc: 0.3586 | LR: 0.001000
[2025-09-23 10:10:19,680][contrast_train.py][line:362][INFO] Epoch [005/200] Train Loss: 1.9611 (CE 1.9424, Con 0.0000, RegionCon 0.0000, Reg 0.018700) | Train Acc: 0.4372 | Test Acc: 0.4222 | LR: 0.001000
[2025-09-23 10:10:31,126][contrast_train.py][line:362][INFO] Epoch [006/200] Train Loss: 1.8933 (CE 1.8758, Con 0.0000, RegionCon 0.0000, Reg 0.017491) | Train Acc: 0.4635 | Test Acc: 0.4307 | LR: 0.001000
[2025-09-23 10:10:42,371][contrast_train.py][line:362][INFO] Epoch [007/200] Train Loss: 1.7897 (CE 1.7735, Con 0.0000, RegionCon 0.0000, Reg 0.016229) | Train Acc: 0.4873 | Test Acc: 0.4494 | LR: 0.001000
[2025-09-23 10:10:53,077][contrast_train.py][line:362][INFO] Epoch [008/200] Train Loss: 1.7434 (CE 1.7282, Con 0.0000, RegionCon 0.0000, Reg 0.015198) | Train Acc: 0.5018 | Test Acc: 0.4457 | LR: 0.001000
[2025-09-23 10:11:04,280][contrast_train.py][line:362][INFO] Epoch [009/200] Train Loss: 1.6873 (CE 1.6732, Con 0.0000, RegionCon 0.0000, Reg 0.014094) | Train Acc: 0.5132 | Test Acc: 0.4494 | LR: 0.001000
[2025-09-23 10:11:15,393][contrast_train.py][line:362][INFO] Epoch [010/200] Train Loss: 1.6381 (CE 1.6243, Con 0.0000, RegionCon 0.0000, Reg 0.013792) | Train Acc: 0.5289 | Test Acc: 0.5109 | LR: 0.001000
[2025-09-23 10:11:26,138][contrast_train.py][line:362][INFO] Epoch [011/200] Train Loss: 1.5650 (CE 1.5515, Con 0.0000, RegionCon 0.0000, Reg 0.013570) | Train Acc: 0.5468 | Test Acc: 0.4935 | LR: 0.001000
[2025-09-23 10:11:37,373][contrast_train.py][line:362][INFO] Epoch [012/200] Train Loss: 1.5245 (CE 1.5104, Con 0.0000, RegionCon 0.0000, Reg 0.014110) | Train Acc: 0.5567 | Test Acc: 0.5061 | LR: 0.001000
[2025-09-23 10:11:48,835][contrast_train.py][line:362][INFO] Epoch [013/200] Train Loss: 1.4694 (CE 1.4555, Con 0.0000, RegionCon 0.0000, Reg 0.013816) | Train Acc: 0.5708 | Test Acc: 0.5462 | LR: 0.001000
[2025-09-23 10:12:00,100][contrast_train.py][line:362][INFO] Epoch [014/200] Train Loss: 1.4081 (CE 1.3945, Con 0.0000, RegionCon 0.0000, Reg 0.013646) | Train Acc: 0.5960 | Test Acc: 0.5434 | LR: 0.001000
[2025-09-23 10:12:10,888][contrast_train.py][line:362][INFO] Epoch [015/200] Train Loss: 1.3872 (CE 1.3733, Con 0.0000, RegionCon 0.0000, Reg 0.013943) | Train Acc: 0.5979 | Test Acc: 0.5377 | LR: 0.001000
[2025-09-23 10:12:21,773][contrast_train.py][line:362][INFO] Epoch [016/200] Train Loss: 1.3453 (CE 1.3317, Con 0.0000, RegionCon 0.0000, Reg 0.013623) | Train Acc: 0.6050 | Test Acc: 0.5539 | LR: 0.001000
[2025-09-23 10:12:33,108][contrast_train.py][line:362][INFO] Epoch [017/200] Train Loss: 1.2918 (CE 1.2784, Con 0.0000, RegionCon 0.0000, Reg 0.013326) | Train Acc: 0.6215 | Test Acc: 0.5336 | LR: 0.001000
[2025-09-23 10:12:44,406][contrast_train.py][line:362][INFO] Epoch [018/200] Train Loss: 1.2744 (CE 1.2607, Con 0.0000, RegionCon 0.0000, Reg 0.013704) | Train Acc: 0.6286 | Test Acc: 0.5936 | LR: 0.001000
[2025-09-23 10:12:55,498][contrast_train.py][line:362][INFO] Epoch [019/200] Train Loss: 1.2422 (CE 1.2290, Con 0.0000, RegionCon 0.0000, Reg 0.013225) | Train Acc: 0.6348 | Test Acc: 0.5519 | LR: 0.001000
[2025-09-23 10:13:06,227][contrast_train.py][line:362][INFO] Epoch [020/200] Train Loss: 1.2127 (CE 1.1990, Con 0.0000, RegionCon 0.0000, Reg 0.013634) | Train Acc: 0.6424 | Test Acc: 0.6301 | LR: 0.000500
[2025-09-23 10:13:17,356][contrast_train.py][line:362][INFO] Epoch [021/200] Train Loss: 1.0814 (CE 1.0687, Con 0.0000, RegionCon 0.0000, Reg 0.012735) | Train Acc: 0.6856 | Test Acc: 0.6811 | LR: 0.000500
[2025-09-23 10:13:27,965][contrast_train.py][line:362][INFO] Epoch [022/200] Train Loss: 1.0454 (CE 1.0332, Con 0.0000, RegionCon 0.0000, Reg 0.012150) | Train Acc: 0.6902 | Test Acc: 0.6945 | LR: 0.000500
[2025-09-23 10:13:39,151][contrast_train.py][line:362][INFO] Epoch [023/200] Train Loss: 1.0280 (CE 1.0159, Con 0.0000, RegionCon 0.0000, Reg 0.012116) | Train Acc: 0.6945 | Test Acc: 0.6904 | LR: 0.000500
[2025-09-23 10:13:50,067][contrast_train.py][line:362][INFO] Epoch [024/200] Train Loss: 1.0253 (CE 1.0137, Con 0.0000, RegionCon 0.0000, Reg 0.011570) | Train Acc: 0.6950 | Test Acc: 0.6771 | LR: 0.000500
[2025-09-23 10:14:01,305][contrast_train.py][line:362][INFO] Epoch [025/200] Train Loss: 1.0032 (CE 0.9922, Con 0.0000, RegionCon 0.0000, Reg 0.010954) | Train Acc: 0.6966 | Test Acc: 0.6807 | LR: 0.000500
[2025-09-23 10:14:12,553][contrast_train.py][line:362][INFO] Epoch [026/200] Train Loss: 0.9796 (CE 0.9684, Con 0.0000, RegionCon 0.0000, Reg 0.011182) | Train Acc: 0.7024 | Test Acc: 0.6868 | LR: 0.000500
[2025-09-23 10:14:23,473][contrast_train.py][line:362][INFO] Epoch [027/200] Train Loss: 0.9646 (CE 0.9538, Con 0.0000, RegionCon 0.0000, Reg 0.010746) | Train Acc: 0.7044 | Test Acc: 0.6864 | LR: 0.000500
[2025-09-23 10:14:34,341][contrast_train.py][line:362][INFO] Epoch [028/200] Train Loss: 0.9555 (CE 0.9452, Con 0.0000, RegionCon 0.0000, Reg 0.010343) | Train Acc: 0.7124 | Test Acc: 0.7026 | LR: 0.000500
[2025-09-23 10:14:45,661][contrast_train.py][line:362][INFO] Epoch [029/200] Train Loss: 0.9413 (CE 0.9306, Con 0.0000, RegionCon 0.0000, Reg 0.010688) | Train Acc: 0.7150 | Test Acc: 0.6957 | LR: 0.000500
[2025-09-23 10:14:56,791][contrast_train.py][line:362][INFO] Epoch [030/200] Train Loss: 0.9303 (CE 0.9198, Con 0.0000, RegionCon 0.0000, Reg 0.010570) | Train Acc: 0.7192 | Test Acc: 0.7034 | LR: 0.000500
[2025-09-23 10:15:07,818][contrast_train.py][line:362][INFO] Epoch [031/200] Train Loss: 0.9066 (CE 0.8962, Con 0.0000, RegionCon 0.0000, Reg 0.010441) | Train Acc: 0.7229 | Test Acc: 0.7083 | LR: 0.000500
[2025-09-23 10:15:18,671][contrast_train.py][line:362][INFO] Epoch [032/200] Train Loss: 0.8964 (CE 0.8864, Con 0.0000, RegionCon 0.0000, Reg 0.010064) | Train Acc: 0.7238 | Test Acc: 0.7050 | LR: 0.000500
[2025-09-23 10:15:29,345][contrast_train.py][line:362][INFO] Epoch [033/200] Train Loss: 0.8950 (CE 0.8848, Con 0.0000, RegionCon 0.0000, Reg 0.010169) | Train Acc: 0.7277 | Test Acc: 0.7237 | LR: 0.000500
[2025-09-23 10:15:40,844][contrast_train.py][line:362][INFO] Epoch [034/200] Train Loss: 0.8819 (CE 0.8715, Con 0.0000, RegionCon 0.0000, Reg 0.010429) | Train Acc: 0.7343 | Test Acc: 0.7139 | LR: 0.000500
[2025-09-23 10:15:51,507][contrast_train.py][line:362][INFO] Epoch [035/200] Train Loss: 0.8802 (CE 0.8705, Con 0.0000, RegionCon 0.0000, Reg 0.009697) | Train Acc: 0.7316 | Test Acc: 0.7107 | LR: 0.000500
[2025-09-23 10:16:02,660][contrast_train.py][line:362][INFO] Epoch [036/200] Train Loss: 0.8544 (CE 0.8445, Con 0.0000, RegionCon 0.0000, Reg 0.009983) | Train Acc: 0.7377 | Test Acc: 0.7188 | LR: 0.000500
[2025-09-23 10:16:13,433][contrast_train.py][line:362][INFO] Epoch [037/200] Train Loss: 0.8728 (CE 0.8628, Con 0.0000, RegionCon 0.0000, Reg 0.009969) | Train Acc: 0.7323 | Test Acc: 0.7180 | LR: 0.000500
[2025-09-23 10:16:23,828][contrast_train.py][line:362][INFO] Epoch [038/200] Train Loss: 0.8441 (CE 0.8341, Con 0.0000, RegionCon 0.0000, Reg 0.010067) | Train Acc: 0.7435 | Test Acc: 0.7152 | LR: 0.000500
[2025-09-23 10:16:35,100][contrast_train.py][line:362][INFO] Epoch [039/200] Train Loss: 0.8476 (CE 0.8376, Con 0.0000, RegionCon 0.0000, Reg 0.010027) | Train Acc: 0.7440 | Test Acc: 0.7216 | LR: 0.000500
[2025-09-23 10:16:46,391][contrast_train.py][line:362][INFO] Epoch [040/200] Train Loss: 0.8321 (CE 0.8219, Con 0.0000, RegionCon 0.0000, Reg 0.010152) | Train Acc: 0.7492 | Test Acc: 0.6860 | LR: 0.000250
[2025-09-23 10:16:57,406][contrast_train.py][line:362][INFO] Epoch [041/200] Train Loss: 0.7638 (CE 0.7542, Con 0.0000, RegionCon 0.0000, Reg 0.009631) | Train Acc: 0.7618 | Test Acc: 0.7358 | LR: 0.000250
[2025-09-23 10:17:08,240][contrast_train.py][line:362][INFO] Epoch [042/200] Train Loss: 0.7493 (CE 0.7400, Con 0.0000, RegionCon 0.0000, Reg 0.009247) | Train Acc: 0.7740 | Test Acc: 0.7464 | LR: 0.000250
[2025-09-23 10:17:19,389][contrast_train.py][line:362][INFO] Epoch [043/200] Train Loss: 0.7383 (CE 0.7290, Con 0.0000, RegionCon 0.0000, Reg 0.009280) | Train Acc: 0.7741 | Test Acc: 0.7690 | LR: 0.000250
[2025-09-23 10:17:30,514][contrast_train.py][line:362][INFO] Epoch [044/200] Train Loss: 0.7421 (CE 0.7330, Con 0.0000, RegionCon 0.0000, Reg 0.009106) | Train Acc: 0.7702 | Test Acc: 0.7626 | LR: 0.000250
[2025-09-23 10:17:41,313][contrast_train.py][line:362][INFO] Epoch [045/200] Train Loss: 0.7313 (CE 0.7224, Con 0.0000, RegionCon 0.0000, Reg 0.008811) | Train Acc: 0.7724 | Test Acc: 0.7650 | LR: 0.000250
[2025-09-23 10:17:52,366][contrast_train.py][line:362][INFO] Epoch [046/200] Train Loss: 0.7356 (CE 0.7264, Con 0.0000, RegionCon 0.0000, Reg 0.009162) | Train Acc: 0.7732 | Test Acc: 0.7719 | LR: 0.000250
[2025-09-23 10:18:03,763][contrast_train.py][line:362][INFO] Epoch [047/200] Train Loss: 0.7211 (CE 0.7123, Con 0.0000, RegionCon 0.0000, Reg 0.008863) | Train Acc: 0.7755 | Test Acc: 0.7589 | LR: 0.000250
[2025-09-23 10:18:14,688][contrast_train.py][line:362][INFO] Epoch [048/200] Train Loss: 0.7132 (CE 0.7044, Con 0.0000, RegionCon 0.0000, Reg 0.008788) | Train Acc: 0.7803 | Test Acc: 0.7763 | LR: 0.000250
[2025-09-23 10:18:25,915][contrast_train.py][line:362][INFO] Epoch [049/200] Train Loss: 0.7093 (CE 0.7004, Con 0.0000, RegionCon 0.0000, Reg 0.008901) | Train Acc: 0.7799 | Test Acc: 0.7630 | LR: 0.000250
[2025-09-23 10:18:36,712][contrast_train.py][line:362][INFO] Epoch [050/200] Train Loss: 0.7036 (CE 0.6953, Con 0.0000, RegionCon 0.0000, Reg 0.008316) | Train Acc: 0.7786 | Test Acc: 0.7767 | LR: 0.000250
[2025-09-23 10:18:47,671][contrast_train.py][line:362][INFO] Epoch [051/200] Train Loss: 0.7028 (CE 0.6941, Con 0.0000, RegionCon 0.0000, Reg 0.008657) | Train Acc: 0.7795 | Test Acc: 0.7682 | LR: 0.000250
[2025-09-23 10:18:58,474][contrast_train.py][line:362][INFO] Epoch [052/200] Train Loss: 0.6833 (CE 0.6749, Con 0.0000, RegionCon 0.0000, Reg 0.008432) | Train Acc: 0.7839 | Test Acc: 0.7719 | LR: 0.000250
[2025-09-23 10:19:09,830][contrast_train.py][line:362][INFO] Epoch [053/200] Train Loss: 0.6710 (CE 0.6628, Con 0.0000, RegionCon 0.0000, Reg 0.008240) | Train Acc: 0.7913 | Test Acc: 0.7654 | LR: 0.000250
[2025-09-23 10:19:20,449][contrast_train.py][line:362][INFO] Epoch [054/200] Train Loss: 0.6854 (CE 0.6771, Con 0.0000, RegionCon 0.0000, Reg 0.008325) | Train Acc: 0.7826 | Test Acc: 0.7618 | LR: 0.000250
[2025-09-23 10:19:31,971][contrast_train.py][line:362][INFO] Epoch [055/200] Train Loss: 0.6929 (CE 0.6845, Con 0.0000, RegionCon 0.0000, Reg 0.008416) | Train Acc: 0.7838 | Test Acc: 0.7431 | LR: 0.000250
[2025-09-23 10:19:42,233][contrast_train.py][line:362][INFO] Epoch [056/200] Train Loss: 0.6801 (CE 0.6720, Con 0.0000, RegionCon 0.0000, Reg 0.008176) | Train Acc: 0.7867 | Test Acc: 0.7723 | LR: 0.000250
