[2025-09-25 09:32:43,500][contrast_train.py][line:271][INFO] Arguments: Namespace(batchSize=32, dataset='/data/cjj/projects/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', exp_name='OnlyGroupLoss', feature_transform=True, gamma=0.5, gpu_id='6', graphcut_c=0.5, graphcut_k=8, graphcut_min_size=20, lambda_con=0.1, lambda_region=0.1, lr=0.001, nepoch=200, no_jitter=False, npoints=1024, rotation_mode='xyz', save_dir='/data/cjj/projects/pointnet.pytorch/Contrast_exp/experiment', seed=42, step_size=20, temperature=0.07, use_cpu=False, use_graphcut_segmentation=True, use_region_contrast=True, workers=4)
[2025-09-25 09:32:43,501][contrast_train.py][line:272][INFO] model params: 3.766769 M
[2025-09-25 09:32:43,501][contrast_train.py][line:273][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fstn): STNkd(
      (conv1): Conv1d(64, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=4096, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-09-25 09:36:37,951][contrast_train.py][line:362][INFO] Epoch [001/200] Train Loss: 3.5501 (CE 3.0800, Con 0.0000, RegionCon 4.1306, Reg 0.057074) | Train Acc: 0.1653 | Test Acc: 0.1860 | LR: 0.001000
[2025-09-25 09:40:36,658][contrast_train.py][line:362][INFO] Epoch [002/200] Train Loss: 3.1132 (CE 2.6871, Con 0.0000, RegionCon 3.9207, Reg 0.034045) | Train Acc: 0.2496 | Test Acc: 0.2326 | LR: 0.001000
[2025-09-25 09:44:27,368][contrast_train.py][line:362][INFO] Epoch [003/200] Train Loss: 2.8384 (CE 2.4249, Con 0.0000, RegionCon 3.8625, Reg 0.027267) | Train Acc: 0.3155 | Test Acc: 0.2516 | LR: 0.001000
[2025-09-25 09:48:17,514][contrast_train.py][line:362][INFO] Epoch [004/200] Train Loss: 2.5781 (CE 2.1734, Con 0.0000, RegionCon 3.8112, Reg 0.023602) | Train Acc: 0.3765 | Test Acc: 0.3691 | LR: 0.001000
[2025-09-25 09:52:11,918][contrast_train.py][line:362][INFO] Epoch [005/200] Train Loss: 2.4216 (CE 2.0237, Con 0.0000, RegionCon 3.7726, Reg 0.020702) | Train Acc: 0.4098 | Test Acc: 0.3918 | LR: 0.001000
[2025-09-25 09:56:00,274][contrast_train.py][line:362][INFO] Epoch [006/200] Train Loss: 2.3356 (CE 1.9440, Con 0.0000, RegionCon 3.7220, Reg 0.019455) | Train Acc: 0.4328 | Test Acc: 0.4425 | LR: 0.001000
[2025-09-25 09:59:49,084][contrast_train.py][line:362][INFO] Epoch [007/200] Train Loss: 2.2029 (CE 1.8167, Con 0.0000, RegionCon 3.6808, Reg 0.018148) | Train Acc: 0.4667 | Test Acc: 0.3756 | LR: 0.001000
[2025-09-25 10:03:37,888][contrast_train.py][line:362][INFO] Epoch [008/200] Train Loss: 2.1580 (CE 1.7771, Con 0.0000, RegionCon 3.6361, Reg 0.017289) | Train Acc: 0.4793 | Test Acc: 0.4011 | LR: 0.001000
[2025-09-25 10:07:29,794][contrast_train.py][line:362][INFO] Epoch [009/200] Train Loss: 2.0731 (CE 1.6971, Con 0.0000, RegionCon 3.5947, Reg 0.016505) | Train Acc: 0.4978 | Test Acc: 0.4660 | LR: 0.001000
[2025-09-25 10:11:18,669][contrast_train.py][line:362][INFO] Epoch [010/200] Train Loss: 2.0369 (CE 1.6649, Con 0.0000, RegionCon 3.5664, Reg 0.015307) | Train Acc: 0.5121 | Test Acc: 0.4769 | LR: 0.001000
[2025-09-25 10:15:08,443][contrast_train.py][line:362][INFO] Epoch [011/200] Train Loss: 1.9674 (CE 1.5968, Con 0.0000, RegionCon 3.5505, Reg 0.015549) | Train Acc: 0.5269 | Test Acc: 0.3878 | LR: 0.001000
[2025-09-25 10:18:57,334][contrast_train.py][line:362][INFO] Epoch [012/200] Train Loss: 1.9091 (CE 1.5399, Con 0.0000, RegionCon 3.5331, Reg 0.015906) | Train Acc: 0.5511 | Test Acc: 0.5438 | LR: 0.001000
[2025-09-25 10:22:47,522][contrast_train.py][line:362][INFO] Epoch [013/200] Train Loss: 1.8705 (CE 1.5027, Con 0.0000, RegionCon 3.5260, Reg 0.015225) | Train Acc: 0.5535 | Test Acc: 0.5146 | LR: 0.001000
[2025-09-25 10:26:36,661][contrast_train.py][line:362][INFO] Epoch [014/200] Train Loss: 1.7918 (CE 1.4264, Con 0.0000, RegionCon 3.4999, Reg 0.015347) | Train Acc: 0.5795 | Test Acc: 0.5450 | LR: 0.001000
[2025-09-25 10:30:26,123][contrast_train.py][line:362][INFO] Epoch [015/200] Train Loss: 1.7710 (CE 1.4051, Con 0.0000, RegionCon 3.5045, Reg 0.015429) | Train Acc: 0.5839 | Test Acc: 0.5839 | LR: 0.001000
[2025-09-25 10:34:15,618][contrast_train.py][line:362][INFO] Epoch [016/200] Train Loss: 1.7248 (CE 1.3590, Con 0.0000, RegionCon 3.5018, Reg 0.015642) | Train Acc: 0.5991 | Test Acc: 0.5798 | LR: 0.001000
