[2025-10-15 19:12:53,157][contrast_train.py][line:271][INFO] Arguments: Namespace(dataset='/data/home/scvi197/run/cjj/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', batchSize=64, nepoch=200, npoints=1024, lr=0.001, step_size=20, gamma=0.5, feature_transform=True, workers=4, seed=42, use_cpu=False, gpu_id='0', rotation_mode='xyz', no_jitter=False, lambda_con=0.1, lambda_region=0.05, temperature=0.07, use_region_contrast=True, use_graphcut_segmentation=True, graphcut_k=8, graphcut_c=0.5, graphcut_min_size=20, exp_name='GroupContrast0.1_0.05', save_dir='/data/home/scvi197/run/cjj/pointnet.pytorch/Contrast_exp/experiment')
[2025-10-15 19:12:53,168][contrast_train.py][line:272][INFO] model params: 3.766769 M
[2025-10-15 19:12:53,179][contrast_train.py][line:273][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fstn): STNkd(
      (conv1): Conv1d(64, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=4096, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-10-15 19:16:40,937][contrast_train.py][line:362][INFO] Epoch [001/200] Train Loss: 3.9633 (CE 3.0006, Con 6.8572, RegionCon 4.1891, Reg 0.067493) | Train Acc: 0.2047 | Test Acc: 0.2703 | LR: 0.001000
[2025-10-15 19:20:30,556][contrast_train.py][line:362][INFO] Epoch [002/200] Train Loss: 3.2319 (CE 2.3291, Con 6.5724, RegionCon 4.0834, Reg 0.041356) | Train Acc: 0.3461 | Test Acc: 0.3323 | LR: 0.001000
[2025-10-15 19:24:18,501][contrast_train.py][line:362][INFO] Epoch [003/200] Train Loss: 2.9311 (CE 2.0448, Con 6.5263, RegionCon 4.0012, Reg 0.033623) | Train Acc: 0.4157 | Test Acc: 0.3582 | LR: 0.001000
[2025-10-15 19:28:05,787][contrast_train.py][line:362][INFO] Epoch [004/200] Train Loss: 2.7382 (CE 1.8644, Con 6.4686, RegionCon 3.9835, Reg 0.027768) | Train Acc: 0.4632 | Test Acc: 0.4376 | LR: 0.001000
[2025-10-15 19:31:53,352][contrast_train.py][line:362][INFO] Epoch [005/200] Train Loss: 2.5725 (CE 1.7100, Con 6.3985, RegionCon 3.9650, Reg 0.024387) | Train Acc: 0.5023 | Test Acc: 0.4546 | LR: 0.001000
[2025-10-15 19:35:42,428][contrast_train.py][line:362][INFO] Epoch [006/200] Train Loss: 2.4479 (CE 1.5923, Con 6.3701, RegionCon 3.9316, Reg 0.022018) | Train Acc: 0.5406 | Test Acc: 0.4797 | LR: 0.001000
[2025-10-15 19:39:32,872][contrast_train.py][line:362][INFO] Epoch [007/200] Train Loss: 2.3372 (CE 1.4870, Con 6.3152, RegionCon 3.9201, Reg 0.022653) | Train Acc: 0.5664 | Test Acc: 0.4733 | LR: 0.001000
[2025-10-15 19:43:24,067][contrast_train.py][line:362][INFO] Epoch [008/200] Train Loss: 2.2568 (CE 1.4187, Con 6.2517, RegionCon 3.8860, Reg 0.018701) | Train Acc: 0.5848 | Test Acc: 0.4882 | LR: 0.001000
[2025-10-15 19:47:15,016][contrast_train.py][line:362][INFO] Epoch [009/200] Train Loss: 2.1918 (CE 1.3570, Con 6.2107, RegionCon 3.8754, Reg 0.020020) | Train Acc: 0.6007 | Test Acc: 0.5312 | LR: 0.001000
[2025-10-15 19:51:06,062][contrast_train.py][line:362][INFO] Epoch [010/200] Train Loss: 2.0980 (CE 1.2718, Con 6.1314, RegionCon 3.8726, Reg 0.019468) | Train Acc: 0.6230 | Test Acc: 0.5109 | LR: 0.001000
[2025-10-15 19:54:56,871][contrast_train.py][line:362][INFO] Epoch [011/200] Train Loss: 2.0351 (CE 1.2147, Con 6.0752, RegionCon 3.8766, Reg 0.019054) | Train Acc: 0.6423 | Test Acc: 0.5976 | LR: 0.001000
[2025-10-15 19:58:47,980][contrast_train.py][line:362][INFO] Epoch [012/200] Train Loss: 1.9677 (CE 1.1498, Con 6.0223, RegionCon 3.8707, Reg 0.022141) | Train Acc: 0.6596 | Test Acc: 0.5170 | LR: 0.001000
[2025-10-15 20:02:38,308][contrast_train.py][line:362][INFO] Epoch [013/200] Train Loss: 1.9519 (CE 1.1384, Con 5.9681, RegionCon 3.8971, Reg 0.021855) | Train Acc: 0.6600 | Test Acc: 0.6082 | LR: 0.001000
[2025-10-15 20:06:29,189][contrast_train.py][line:362][INFO] Epoch [014/200] Train Loss: 1.8640 (CE 1.0587, Con 5.9106, RegionCon 3.8933, Reg 0.019576) | Train Acc: 0.6822 | Test Acc: 0.5895 | LR: 0.001000
[2025-10-15 20:10:19,934][contrast_train.py][line:362][INFO] Epoch [015/200] Train Loss: 1.8148 (CE 1.0159, Con 5.8458, RegionCon 3.9064, Reg 0.018983) | Train Acc: 0.6962 | Test Acc: 0.6702 | LR: 0.001000
[2025-10-15 20:14:11,650][contrast_train.py][line:362][INFO] Epoch [016/200] Train Loss: 1.7986 (CE 1.0032, Con 5.8092, RegionCon 3.8969, Reg 0.019600) | Train Acc: 0.6933 | Test Acc: 0.6653 | LR: 0.001000
[2025-10-15 20:18:02,710][contrast_train.py][line:362][INFO] Epoch [017/200] Train Loss: 1.7642 (CE 0.9743, Con 5.7379, RegionCon 3.9304, Reg 0.019542) | Train Acc: 0.7044 | Test Acc: 0.6216 | LR: 0.001000
